e_E,p_RU,p_RD,p_SR,p_NR
3.8139374017625215e-08,0.0,0.0,0.0,0.0
3.7269027524468706e-08,0.0,0.0,0.0,0.0
3.801037436689205e-08,0.0,0.0,0.0,0.0
0.09212839282054243,0.0,0.0,0.0,0.0
0.2661983769629887,0.0,0.0,0.0,0.0
0.09212839264115268,0.0,0.0,0.0,0.0
0.03943723629086714,0.0,0.0,0.0,0.0
0.008296065165775478,0.0,0.0,0.0,0.0
0.03943723476741964,0.0,0.0,0.0,0.0
0.03943723593796609,0.0,0.0,0.0,0.0
0.00829606491877792,0.0,0.0,0.0,0.0
3.571845526991439e-08,0.0,0.0,0.0,0.0
1.94889607046013e-08,5.444441874441743e-09,0.0,0.0,0.0
0.09212839278293329,0.0,0.0,0.0,0.0
3.5709746814903954e-08,0.0,0.0,0.0,0.0
0.03943723342656284,0.0,0.0,0.0,0.0
0.09212839092911256,0.0,0.0,0.0,0.0
0.26619837469574,0.0,0.0,0.0,0.0
0.9645916400254892,0.0,0.0,0.0,0.0
0.09212838997133509,0.0,0.0,0.0,0.0
0.16881318487834768,0.0,0.0,0.0,0.0
3.4105334803615045e-08,0.0,0.0,0.0,0.0
0.38854929520684284,6.534189674273856e-08,0.0,0.0,0.0
0.09212839267522742,0.0,0.0,0.0,0.0
0.5473626161647729,0.0,0.0,0.0,0.0
0.2661983774944595,0.0,0.0,0.0,0.0
0.5473626164595102,0.0,0.0,0.0,0.0
0.09212839326973984,0.0,0.0,0.0,0.0
0.266198376689698,0.0,0.0,0.0,0.0
0.09212839254748002,0.0,0.0,0.0,0.0
0.26619837594917306,0.0,0.0,0.0,0.0
3.783429616717102e-08,0.0,0.0,0.0,0.0
0.3885493758472193,0.0,0.0,0.0,0.0
0.7863522617616844,0.0,0.0,0.0,0.0
0.09212839271335052,0.0,0.0,0.0,0.0
0.09212839291158006,0.0,0.0,0.0,0.0
3.7475218730307585e-08,0.0,0.0,0.0,0.0
3.815711628470846e-08,0.0,0.0,0.0,0.0
3.8405981842076875e-08,0.0,0.0,0.0,0.0
3.77212240157293e-08,0.0,0.0,0.0,0.0
0.008296065697543374,0.0,0.0,0.0,0.0
0.03943723654095411,0.0,0.0,0.0,0.0
3.636795594951484e-08,0.0,0.0,0.0,0.0
3.556725702922437e-08,0.0,0.0,0.0,0.0
3.639934143180352e-08,0.0,0.0,0.0,0.0
0.039437234922600296,0.0,0.0,0.0,0.0
0.16881318695054784,0.0,0.0,0.0,0.0
0.16881318855076888,0.0,0.0,0.0,0.0
0.1688131892126136,0.0,0.0,0.0,0.0
0.38854937598814276,0.0,0.0,0.0,0.0
0.9645916431933312,0.0,0.0,0.0,0.0
0.7863522623169372,0.0,0.0,0.0,0.0
0.7863522622421274,0.0,0.0,0.0,0.0
0.3885493742154493,0.0,0.0,0.0,0.0
0.26619837663239354,0.0,0.0,0.0,0.0
0.5473626160267351,0.0,0.0,0.0,0.0
1.1299359469762067,0.0,0.0,0.0,0.0
0.9645916429256342,0.0,0.0,0.0,0.0
0.008296065942490506,0.0,0.0,0.0,0.0
0.168813188407018,0.0,0.0,0.0,0.0
0.3885493757059676,0.0,0.0,0.0,0.0
0.2661983772504445,0.0,0.0,0.0,0.0
0.09212839339971227,0.0,0.0,0.0,0.0
0.0,0.0,0.0489499953181287,0.0,0.0
0.03943723666682384,0.0,0.0,0.0,0.0
3.595499740977838e-08,0.0,0.0,0.0,0.0
3.6991003718371205e-08,0.0,0.0,0.0,0.0
3.6678704508207485e-08,0.0,0.0,0.0,0.0
0.008296063337920411,0.0,0.0,0.0,0.0
3.4937700009024794e-08,0.0,0.0,0.0,0.0
3.610492022055176e-08,0.0,0.0,0.0,0.0
0.03943723747483716,0.0,0.0,0.0,0.0
0.09212839330055729,0.0,0.0,0.0,0.0
0.3885493696903868,0.0,0.0,0.0,0.0
1.1299359468143122,0.0,0.0,0.0,0.0
0.9645916430465071,0.0,0.0,0.0,0.0
0.9645916421096854,0.0,0.0,0.0,0.0
